AKT1,EGFR,TP53,CDKN2A,IDH1,MGMT,PTEN,TERT,CDKN2B,IDH2,PROM1,CD68,PRR15,SLC25A41,Outcome
6,44,12,0,14,1,48,0,0,36,0,0,0,4,1
10,11,13,0,10,2,53,0,0,12,0,5,0,0,1
6,11,7,0,1,7,33,0,2,26,1,1,0,3,0
8,20,6,2,16,9,56,0,0,18,1,2,0,6,0
5,42,17,0,13,0,34,0,0,5,0,0,0,7,1
9,21,13,0,13,1,33,0,0,1,0,1,0,3,1
19,10,7,1,26,4,85,0,0,60,2,2,0,5,0
7,14,9,0,14,10,79,0,0,52,1,3,0,5,0
7,26,23,0,19,8,54,0,1,30,2,0,0,2,0
2,8,15,0,6,2,16,0,0,6,0,1,0,2,0
2,3,6,0,3,1,3,0,0,4,0,6,0,1,1
3,15,9,0,10,10,62,0,1,13,0,3,0,4,1
2,16,18,1,8,2,21,0,0,3,1,2,0,2,1
2,6,12,0,14,7,6,0,0,10,0,2,0,0,1
0,4,4,0,6,3,16,0,0,21,1,0,0,0,0
8,11,6,1,7,10,41,0,0,26,0,1,0,1,0
5,2,8,2,7,9,21,0,1,12,0,0,0,3,0
6,2,8,0,13,9,39,0,1,27,2,0,0,5,0
10,88,22,2,20,3,26,0,0,27,2,23,1,3,1
5,27,11,1,13,2,43,0,0,15,1,1,0,2,1
2192,3226,1746,1369,1406,102,4704,0,146,4973,1991,0,4,27,1
2092,3550,1095,58,784,124,7848,226,18,2139,49,0,6,1,1
1931,4296,264,39,875,572,4694,5,80,3560,406,2,30,47,1
6738,11078,2431,1071,4270,196,10020,7,374,11579,3679,0,2,17,1
2063,1853,432,87,1281,407,3347,8,197,3758,489,1,36,36,1
3082,1937,508,101,2616,641,5754,0,289,3958,418,4,51,62,1
2558,9873,862,28,9088,658,4079,27,163,2379,1892,1,119,34,1
1957,12463,407,79,1561,665,3308,2,176,3782,447,5,26,32,1
4105,8503,2652,1,4812,5,7596,14,189,3900,665,0,0,0,1
1924,2740,224,45,1034,463,5391,7,149,3922,386,0,25,49,1
3017,586,153,10,930,271,6667,0,26,1329,80,335,6,617,0
4139,792,370,24,847,329,10455,0,38,2249,82,546,3,428,0
4981,190,114,17,1395,390,12581,2,22,1563,66,435,13,970,0
4068,554,175,33,1311,423,8918,0,48,1515,149,520,9,925,0
4303,226,93,12,1133,278,12570,0,24,1554,96,275,5,600,0
3617,1001,136,47,1156,333,11280,0,62,1665,162,349,13,582,0
4761,125,67,20,986,385,13334,0,40,1592,106,175,8,617,0
7402,238,142,26,1523,382,17484,1,28,2517,93,538,13,754,0
4260,319,144,18,1246,312,10449,0,16,1712,20,556,15,1283,0
2810,349,117,9,1037,361,11111,0,8,1048,31,656,4,1529,0
7664,442,202,69,1935,643,19409,2,55,3114,193,707,12,1711,0
